[2023-07-06 18:32:58] [world] The Player <Funget114514> has placed GLASS at X= -23, Y= 64, Z= -280
[2023-07-06 18:33:06] [world] The Player <Enderlava> has placed OBSIDIAN at X= -30, Y= 80, Z= -214
[2023-07-06 18:34:41] [world] The Player <Funget114514> has placed SHULKER_BOX at X= 1, Y= 64, Z= -278
[2023-07-06 18:34:52] [world] The Player <Funget114514> has placed SHULKER_BOX at X= 1, Y= 63, Z= -279
[2023-07-06 18:42:38] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 50, Z= -750
[2023-07-06 18:42:39] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 51, Z= -750
[2023-07-06 18:42:39] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 52, Z= -750
[2023-07-06 18:42:39] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 53, Z= -750
[2023-07-06 18:42:39] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 54, Z= -750
[2023-07-06 18:42:39] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 55, Z= -750
[2023-07-06 18:47:46] [world] The Player <wqe123420> has placed COBBLESTONE at X= -842, Y= 44, Z= -749
[2023-07-06 18:47:47] [world] The Player <wqe123420> has placed COBBLESTONE at X= -842, Y= 45, Z= -749
[2023-07-06 18:47:47] [world] The Player <wqe123420> has placed COBBLESTONE at X= -842, Y= 46, Z= -749
[2023-07-06 18:47:47] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 45, Z= -749
[2023-07-06 18:47:47] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 46, Z= -749
[2023-07-06 18:47:47] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 47, Z= -749
[2023-07-06 18:47:48] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 48, Z= -749
[2023-07-06 18:47:48] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 49, Z= -749
[2023-07-06 18:47:48] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 50, Z= -749
[2023-07-06 18:47:49] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 51, Z= -749
[2023-07-06 18:47:49] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 52, Z= -749
[2023-07-06 18:47:49] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 53, Z= -749
[2023-07-06 18:47:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 54, Z= -749
[2023-07-06 18:47:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -841, Y= 55, Z= -749
[2023-07-06 18:51:49] [world] The Player <wqe123420> has placed COBBLESTONE at X= -839, Y= 44, Z= -749
[2023-07-06 18:51:49] [world] The Player <wqe123420> has placed COBBLESTONE at X= -839, Y= 45, Z= -749
[2023-07-06 18:51:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -840, Y= 44, Z= -749
[2023-07-06 18:51:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -840, Y= 45, Z= -749
[2023-07-06 18:51:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -840, Y= 46, Z= -749
[2023-07-06 18:51:50] [world] The Player <wqe123420> has placed COBBLESTONE at X= -840, Y= 47, Z= -749
[2023-07-06 18:51:51] [world] The Player <wqe123420> has placed COBBLESTONE at X= -840, Y= 48, Z= -749
