[2023-07-23 15:14:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 3
[2023-07-23 15:14:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 2
[2023-07-23 15:14:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 1
[2023-07-23 15:14:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 60, Z= 3
[2023-07-23 15:14:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 60, Z= 2
[2023-07-23 15:14:42] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 60, Z= 4
[2023-07-23 15:14:42] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 61, Z= 4
[2023-07-23 15:14:42] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 60, Z= 3
[2023-07-23 15:14:43] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 61, Z= 4
[2023-07-23 15:14:43] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= 4
[2023-07-23 15:14:43] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= 3
[2023-07-23 15:14:44] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 61, Z= 3
[2023-07-23 15:14:45] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 19, Y= 62, Z= 2
[2023-07-23 15:14:46] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= 2
[2023-07-23 15:14:46] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= 1
[2023-07-23 15:14:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 61, Z= 1
[2023-07-23 15:14:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 61, Z= 1
[2023-07-23 15:14:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 61, Z= 0
[2023-07-23 15:14:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 61, Z= 0
[2023-07-23 15:14:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= 0
[2023-07-23 15:14:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 12, Y= 61, Z= 5
[2023-07-23 15:14:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 12, Y= 61, Z= 4
[2023-07-23 15:14:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 13, Y= 61, Z= 5
[2023-07-23 15:14:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 13, Y= 61, Z= 4
[2023-07-23 15:14:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 61, Z= 5
[2023-07-23 15:14:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 61, Z= 4
[2023-07-23 15:14:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 61, Z= 3
[2023-07-23 15:14:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 61, Z= 2
[2023-07-23 15:14:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 61, Z= 3
[2023-07-23 15:14:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 61, Z= 2
[2023-07-23 15:14:52] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 61, Z= 2
[2023-07-23 15:14:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 62, Z= 3
[2023-07-23 15:14:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 62, Z= 2
[2023-07-23 15:14:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 62, Z= 1
[2023-07-23 15:14:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 62, Z= 0
[2023-07-23 15:14:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 62, Z= 1
[2023-07-23 15:14:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 62, Z= 2
[2023-07-23 15:14:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 62, Z= 1
[2023-07-23 15:14:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 62, Z= 3
[2023-07-23 15:14:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 16, Y= 62, Z= 2
[2023-07-23 15:14:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 15, Y= 62, Z= 3
[2023-07-23 15:14:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 62, Z= 5
[2023-07-23 15:14:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 62, Z= 4
[2023-07-23 15:14:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 12, Y= 62, Z= 5
[2023-07-23 15:15:03] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 12, Y= 62, Z= 4
[2023-07-23 15:15:03] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 13, Y= 62, Z= 4
[2023-07-23 15:15:05] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 62, Z= 3
[2023-07-23 15:15:29] [world_the_end] The Player <Enderlava> has placed SHULKER_BOX at X= 6, Y= 55, Z= 5
[2023-07-23 15:15:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 55, Z= 1
[2023-07-23 15:15:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 55, Z= 2
[2023-07-23 15:21:17] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -24, Y= 70, Z= -256
[2023-07-23 15:21:37] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -25, Y= 70, Z= -259
[2023-07-23 15:23:34] [world_the_end] The Player <Enderlava> has placed SCAFFOLDING at X= 1, Y= 60, Z= -4
[2023-07-23 15:23:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= 0
[2023-07-23 15:23:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 4, Y= 55, Z= -4
[2023-07-23 15:23:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 4, Y= 56, Z= -4
