[2023-07-10 09:31:14] [world] The Player <Enderlava> has placed REDSTONE_TORCH at X= -840, Y= 94, Z= -735
[2023-07-10 09:34:47] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 80, Z= -734
[2023-07-10 09:34:47] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 81, Z= -734
[2023-07-10 09:34:47] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 82, Z= -734
[2023-07-10 09:34:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 83, Z= -734
[2023-07-10 09:34:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 84, Z= -734
[2023-07-10 09:34:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 85, Z= -734
[2023-07-10 09:34:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 86, Z= -734
[2023-07-10 09:34:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 87, Z= -734
[2023-07-10 09:34:49] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 88, Z= -734
[2023-07-10 09:34:49] [world] The Player <Enderlava> has placed COBBLESTONE at X= -838, Y= 89, Z= -734
[2023-07-10 09:34:54] [world] The Player <Enderlava> has placed COBBLESTONE at X= -839, Y= 91, Z= -736
[2023-07-10 09:36:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -40, Y= -55, Z= -246
[2023-07-10 09:36:48] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -40, Y= -57, Z= -247
[2023-07-10 09:36:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -41, Y= -55, Z= -246
[2023-07-10 09:36:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= -55, Z= -246
[2023-07-10 09:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= -55, Z= -246
[2023-07-10 09:37:07] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -44, Y= -55, Z= -246
[2023-07-10 09:37:07] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -45, Y= -55, Z= -246
[2023-07-10 09:37:08] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -46, Y= -55, Z= -246
[2023-07-10 09:39:37] [world] The Player <wqe123420> has placed IRON_BLOCK at X= -38, Y= -53, Z= -246
[2023-07-10 09:39:39] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -39, Y= -53, Z= -246
[2023-07-10 09:39:50] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -40, Y= -53, Z= -246
[2023-07-10 09:41:57] [world] The Player <wqe123420> has placed OBSERVER at X= -30, Y= -55, Z= -246
[2023-07-10 09:42:06] [world] The Player <wqe123420> has placed OBSERVER at X= -30, Y= -55, Z= -246
[2023-07-10 09:42:14] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -54, Z= -246
[2023-07-10 09:42:27] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -30, Y= -54, Z= -247
[2023-07-10 09:42:28] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -54, Z= -248
[2023-07-10 09:42:40] [world] The Player <wqe123420> has placed PISTON at X= -30, Y= -53, Z= -248
[2023-07-10 09:42:42] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -53, Z= -247
[2023-07-10 09:42:44] [world] The Player <wqe123420> has placed PISTON at X= -30, Y= -53, Z= -246
[2023-07-10 09:42:56] [world] The Player <wqe123420> has placed NOTE_BLOCK at X= -30, Y= -52, Z= -246
[2023-07-10 09:43:02] [world] The Player <wqe123420> has placed OBSERVER at X= -30, Y= -52, Z= -247
[2023-07-10 09:43:29] [world] The Player <wqe123420> has placed TNT at X= -29, Y= -53, Z= -240
