[2023-07-22 18:27:16] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 101
[2023-07-22 18:27:17] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 102
[2023-07-22 18:27:17] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 103
[2023-07-22 18:27:17] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 104
[2023-07-22 18:27:17] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 105
[2023-07-22 18:27:18] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 106
[2023-07-22 18:27:19] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 107
[2023-07-22 18:27:19] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 108
[2023-07-22 18:27:20] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 109
[2023-07-22 18:27:20] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 110
[2023-07-22 18:27:20] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 111
[2023-07-22 18:27:20] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 112
[2023-07-22 18:27:21] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 113
[2023-07-22 18:27:21] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 114
[2023-07-22 18:27:21] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 115
[2023-07-22 18:27:21] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 116
[2023-07-22 18:27:21] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 117
[2023-07-22 18:27:22] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 118
[2023-07-22 18:27:22] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 119
[2023-07-22 18:27:22] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 120
[2023-07-22 18:27:22] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 121
[2023-07-22 18:27:23] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 122
[2023-07-22 18:27:23] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 123
[2023-07-22 18:27:23] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 161, Y= 129, Z= 124
[2023-07-22 18:27:25] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 162, Y= 129, Z= 123
[2023-07-22 18:27:27] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 163, Y= 129, Z= 123
[2023-07-22 18:27:28] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 164, Y= 129, Z= 123
[2023-07-22 18:27:28] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 123
[2023-07-22 18:27:28] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 166, Y= 129, Z= 123
[2023-07-22 18:27:33] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 101
[2023-07-22 18:27:33] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 102
[2023-07-22 18:27:33] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 103
[2023-07-22 18:27:33] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 104
[2023-07-22 18:27:33] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 105
[2023-07-22 18:27:34] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 106
[2023-07-22 18:27:34] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 107
[2023-07-22 18:27:34] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 108
[2023-07-22 18:27:34] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 109
[2023-07-22 18:27:35] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 110
[2023-07-22 18:27:35] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 111
[2023-07-22 18:27:35] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 112
[2023-07-22 18:27:35] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 113
[2023-07-22 18:27:35] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 114
[2023-07-22 18:27:36] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 115
[2023-07-22 18:27:36] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 116
[2023-07-22 18:27:36] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 117
[2023-07-22 18:27:36] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 118
[2023-07-22 18:27:37] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 119
[2023-07-22 18:27:37] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 120
[2023-07-22 18:27:37] [world_nether] The Player <Enderlava> has placed OAK_FENCE at X= 165, Y= 129, Z= 121
[2023-07-22 18:27:47] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 102
[2023-07-22 18:27:47] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 104
[2023-07-22 18:27:48] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 106
[2023-07-22 18:27:48] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 108
[2023-07-22 18:27:49] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 128, Z= 109
[2023-07-22 18:27:50] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 112
[2023-07-22 18:27:50] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 110
[2023-07-22 18:27:51] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 114
[2023-07-22 18:27:52] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 116
[2023-07-22 18:27:52] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 118
[2023-07-22 18:27:53] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 120
[2023-07-22 18:27:53] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 162, Y= 129, Z= 122
[2023-07-22 18:27:54] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 122
[2023-07-22 18:27:55] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 120
[2023-07-22 18:27:55] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 118
[2023-07-22 18:27:56] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 116
[2023-07-22 18:27:56] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 114
[2023-07-22 18:27:57] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 112
[2023-07-22 18:27:57] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 128, Z= 111
[2023-07-22 18:27:57] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 128, Z= 109
[2023-07-22 18:27:58] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 108
[2023-07-22 18:27:58] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 106
[2023-07-22 18:27:58] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 104
[2023-07-22 18:27:59] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 102
[2023-07-22 18:28:01] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 164, Y= 129, Z= 110
[2023-07-22 18:28:43] [world_the_end] The Player <Enderlava> has placed REPEATER at X= 0, Y= 56, Z= -1
[2023-07-22 18:28:48] [world_the_end] The Player <Enderlava> has placed REPEATER at X= 0, Y= 56, Z= -2
[2023-07-22 18:29:06] [world_the_end] The Player <Enderlava> has placed OAK_LOG at X= 0, Y= 57, Z= -6
[2023-07-22 18:29:15] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 0, Y= 58, Z= -6
[2023-07-22 18:29:15] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 0, Y= 59, Z= -6
[2023-07-22 18:29:16] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 0, Y= 58, Z= -7
[2023-07-22 18:29:16] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 0, Y= 59, Z= -7
