[2023-07-19 12:06:21] [world_nether] The Player <Enderlava> has placed TNT at X= 46, Y= 17, Z= 16
[2023-07-19 12:06:45] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 46, Y= 13, Z= 16
[2023-07-19 12:06:46] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 47, Y= 14, Z= 16
[2023-07-19 12:06:46] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 46, Y= 14, Z= 16
[2023-07-19 12:06:46] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 46, Y= 13, Z= 17
[2023-07-19 12:06:49] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 49, Y= 18, Z= 14
[2023-07-19 12:07:01] [world_nether] The Player <Enderlava> has placed TNT at X= 45, Y= 17, Z= 20
[2023-07-19 12:07:10] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 45, Y= 14, Z= 19
[2023-07-19 12:07:11] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 44, Y= 14, Z= 19
[2023-07-19 12:07:12] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 48, Y= 14, Z= 19
[2023-07-19 12:07:12] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 47, Y= 14, Z= 19
[2023-07-19 12:07:13] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 46, Y= 14, Z= 19
[2023-07-19 12:07:23] [world_nether] The Player <Enderlava> has placed TNT at X= 43, Y= 17, Z= 27
[2023-07-19 12:07:35] [world_nether] The Player <Enderlava> has placed TNT at X= 37, Y= 16, Z= 27
[2023-07-19 12:07:55] [world_nether] The Player <Enderlava> has placed TNT at X= 29, Y= 16, Z= 27
[2023-07-19 12:08:05] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 27, Y= 18, Z= 27
[2023-07-19 12:08:05] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 28, Y= 18, Z= 27
[2023-07-19 12:08:08] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 26, Y= 18, Z= 26
[2023-07-19 12:08:11] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 27, Y= 18, Z= 26
[2023-07-19 12:08:16] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 26, Y= 18, Z= 27
[2023-07-19 12:08:34] [world_nether] The Player <Enderlava> has placed TNT at X= 24, Y= 16, Z= 26
[2023-07-19 12:08:48] [world_nether] The Player <Enderlava> has placed TNT at X= 16, Y= 16, Z= 26
[2023-07-19 12:09:17] [world_nether] The Player <Enderlava> has placed TNT at X= 19, Y= 15, Z= 18
[2023-07-19 12:09:40] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 17, Y= 12, Z= 18
[2023-07-19 12:09:40] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 17, Y= 13, Z= 18
[2023-07-19 12:09:41] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 17, Y= 14, Z= 18
[2023-07-19 12:09:41] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 17, Y= 15, Z= 18
[2023-07-19 12:09:57] [world_nether] The Player <Enderlava> has placed TNT at X= 25, Y= 19, Z= 21
[2023-07-19 12:10:06] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 16, Z= 21
[2023-07-19 12:10:06] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 15, Z= 20
[2023-07-19 12:10:06] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 16, Z= 20
[2023-07-19 12:10:07] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 15, Z= 19
[2023-07-19 12:10:07] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 16, Z= 19
[2023-07-19 12:10:08] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 15, Z= 18
[2023-07-19 12:10:08] [world_nether] The Player <Enderlava> has placed NETHERRACK at X= 22, Y= 16, Z= 18
[2023-07-19 12:10:14] [world_nether] The Player <Enderlava> has placed TNT at X= 14, Y= 15, Z= 16
[2023-07-19 12:10:27] [world_nether] The Player <Enderlava> has placed TNT at X= 11, Y= 14, Z= 23
[2023-07-19 12:10:47] [world_nether] The Player <Enderlava> has placed TNT at X= 25, Y= 16, Z= 3
[2023-07-19 12:10:56] [world_nether] The Player <Enderlava> has placed TNT at X= 28, Y= 14, Z= 2
[2023-07-19 12:11:10] [world_nether] The Player <Enderlava> has placed TNT at X= 32, Y= 14, Z= 0
[2023-07-19 12:12:55] [world_nether] The Player <Enderlava> has placed TNT at X= 14, Y= 15, Z= 0
[2023-07-19 12:13:00] [world_nether] The Player <Enderlava> has placed TNT at X= 19, Y= 14, Z= -5
[2023-07-19 12:13:06] [world_nether] The Player <Enderlava> has placed TNT at X= 14, Y= 14, Z= -7
[2023-07-19 12:13:17] [world_nether] The Player <Enderlava> has placed TNT at X= 6, Y= 15, Z= -3
[2023-07-19 12:13:37] [world_nether] The Player <Enderlava> has placed TNT at X= 14, Y= 13, Z= -15
[2023-07-19 12:14:02] [world_nether] The Player <Enderlava> has placed TNT at X= 19, Y= 17, Z= 6
[2023-07-19 12:14:13] [world_nether] The Player <Enderlava> has placed TNT at X= 14, Y= 17, Z= 6
[2023-07-19 12:15:12] [world_nether] The Player <Enderlava> has placed TNT at X= 24, Y= 12, Z= 6
[2023-07-19 12:15:52] [world_nether] The Player <Enderlava> has placed TNT at X= 36, Y= 17, Z= -6
[2023-07-19 12:16:01] [world_nether] The Player <Enderlava> has placed TNT at X= 31, Y= 16, Z= -7
[2023-07-19 12:16:18] [world_nether] The Player <Enderlava> has placed TNT at X= 39, Y= 16, Z= -15
[2023-07-19 12:16:32] [world_nether] The Player <Enderlava> has placed TNT at X= 47, Y= 17, Z= -10
[2023-07-19 12:18:01] [world_nether] The Player <Enderlava> has placed TNT at X= 55, Y= 15, Z= -8
[2023-07-19 12:18:12] [world_nether] The Player <Enderlava> has placed TNT at X= 48, Y= 16, Z= -1
[2023-07-19 12:18:22] [world_nether] The Player <Enderlava> has placed TNT at X= 53, Y= 16, Z= -3
[2023-07-19 12:18:54] [world_nether] The Player <Enderlava> has placed TNT at X= 41, Y= 17, Z= -3
[2023-07-19 12:19:21] [world_nether] The Player <Enderlava> has placed TNT at X= 41, Y= 16, Z= 6
[2023-07-19 12:20:58] [world_nether] The Player <Enderlava> has placed TNT at X= 32, Y= 13, Z= -15
[2023-07-19 12:43:15] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-19 16:47:09] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-19 16:56:54] [world_the_end] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -17, Y= 1, Z= -272
[2023-07-19 17:01:35] [world_the_end] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -16, Y= 1, Z= -273
[2023-07-19 17:01:49] [world_the_end] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -17, Y= 1, Z= -275
[2023-07-19 17:03:19] [world_the_end] The Player <Funget114514> has placed DAMAGED_ANVIL at X= -17, Y= 0, Z= -275
[2023-07-19 17:03:20] [world_the_end] The Player <Funget114514> has placed DAMAGED_ANVIL at X= -17, Y= 0, Z= -275
[2023-07-19 17:03:20] [world_the_end] The Player <Funget114514> has placed DAMAGED_ANVIL at X= -17, Y= 0, Z= -275
[2023-07-19 17:03:21] [world_the_end] The Player <Funget114514> has placed DAMAGED_ANVIL at X= -17, Y= 0, Z= -275
[2023-07-19 17:03:35] [world_the_end] The Player <Funget114514> has placed SCAFFOLDING at X= -13, Y= 1, Z= -274
[2023-07-19 17:04:01] [world_the_end] The Player <Funget114514> has placed SPRUCE_PLANKS at X= -17, Y= 0, Z= -275
[2023-07-19 21:43:28] [world_the_end] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -17, Y= 1, Z= -272
[2023-07-19 22:19:47] [world] The Player <Enderlava> has placed TNT at X= 1180, Y= 77, Z= -470
[2023-07-19 22:20:48] [world] The Player <Enderlava> has placed NETHERRACK at X= -14, Y= 68, Z= -245
[2023-07-19 22:20:48] [world] The Player <Enderlava> has placed NETHERRACK at X= -13, Y= 68, Z= -245
[2023-07-19 22:41:04] [world] The Player <Enderlava> has placed DIRT at X= -198, Y= 63, Z= -149
[2023-07-19 22:41:05] [world] The Player <Enderlava> has placed DIRT at X= -198, Y= 63, Z= -150
[2023-07-19 22:41:05] [world] The Player <Enderlava> has placed DIRT at X= -199, Y= 63, Z= -149
[2023-07-19 22:41:05] [world] The Player <Enderlava> has placed DIRT at X= -199, Y= 63, Z= -150
[2023-07-19 22:42:45] [world] The Player <Enderlava> has placed NETHERRACK at X= -162, Y= 70, Z= -157
[2023-07-19 22:42:45] [world] The Player <Enderlava> has placed NETHERRACK at X= -162, Y= 71, Z= -157
