[2023-07-20 12:18:29] [world] The Player <wqe123420> has placed TNT at X= -3089, Y= 63, Z= 4399
[2023-07-20 12:18:30] [world] The Player <wqe123420> has placed TNT at X= -3087, Y= 63, Z= 4401
[2023-07-20 12:18:30] [world] The Player <wqe123420> has placed TNT at X= -3085, Y= 63, Z= 4403
[2023-07-20 12:18:31] [world] The Player <wqe123420> has placed TNT at X= -3084, Y= 63, Z= 4405
[2023-07-20 12:18:32] [world] The Player <wqe123420> has placed TNT at X= -3083, Y= 63, Z= 4407
[2023-07-20 12:18:37] [world] The Player <wqe123420> has placed TNT at X= -3088, Y= 63, Z= 4424
[2023-07-20 12:18:44] [world] The Player <wqe123420> has placed TNT at X= -3072, Y= 63, Z= 4423
[2023-07-20 12:18:45] [world] The Player <wqe123420> has placed TNT at X= -3070, Y= 63, Z= 4421
[2023-07-20 12:18:46] [world] The Player <wqe123420> has placed TNT at X= -3065, Y= 63, Z= 4422
[2023-07-20 12:18:47] [world] The Player <wqe123420> has placed TNT at X= -3060, Y= 63, Z= 4425
[2023-07-20 12:18:48] [world] The Player <wqe123420> has placed TNT at X= -3056, Y= 63, Z= 4426
[2023-07-20 12:18:49] [world] The Player <wqe123420> has placed TNT at X= -3050, Y= 63, Z= 4426
[2023-07-20 12:18:50] [world] The Player <wqe123420> has placed TNT at X= -3048, Y= 63, Z= 4423
[2023-07-20 12:18:51] [world] The Player <wqe123420> has placed TNT at X= -3045, Y= 63, Z= 4421
[2023-07-20 12:22:14] [world] The Player <wqe123420> has placed BLACK_SHULKER_BOX at X= -3097, Y= 63, Z= 4435
[2023-07-20 12:24:58] [world] The Player <Funget114514> has placed SAND at X= -3098, Y= 65, Z= 4431
[2023-07-20 12:24:58] [world] The Player <Funget114514> has placed SAND at X= -3098, Y= 66, Z= 4431
[2023-07-20 12:24:58] [world] The Player <Funget114514> has placed SAND at X= -3098, Y= 67, Z= 4431
[2023-07-20 12:24:58] [world] The Player <Funget114514> has placed SAND at X= -3098, Y= 68, Z= 4431
[2023-07-20 12:30:11] [world] The Player <wqe123420> has placed BLACK_SHULKER_BOX at X= -3096, Y= 72, Z= 4430
[2023-07-20 12:35:39] [world] The Player <Funget114514> has placed TNT at X= -3109, Y= 60, Z= 4433
[2023-07-20 12:36:11] [world] The Player <Funget114514> has placed SAND at X= -3121, Y= 60, Z= 4406
[2023-07-20 12:36:26] [world] The Player <Funget114514> has placed TNT at X= -3121, Y= 60, Z= 4406
[2023-07-20 12:36:26] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 60, Z= 4406
[2023-07-20 12:37:22] [world] The Player <Funget114514> has placed TNT at X= -3098, Y= 60, Z= 4427
[2023-07-20 12:37:22] [world] The Player <Funget114514> has placed TNT at X= -3099, Y= 60, Z= 4427
[2023-07-20 12:38:18] [world] The Player <Funget114514> has placed TNT at X= -3102, Y= 61, Z= 4424
[2023-07-20 12:38:29] [world] The Player <Funget114514> has placed TNT at X= -3103, Y= 61, Z= 4434
[2023-07-20 12:38:44] [world] The Player <Funget114514> has placed TNT at X= -3096, Y= 63, Z= 4437
[2023-07-20 12:39:01] [world] The Player <wqe123420> has placed TNT at X= -3091, Y= 63, Z= 4446
[2023-07-20 12:39:02] [world] The Player <Funget114514> has placed TNT at X= -3093, Y= 62, Z= 4443
[2023-07-20 12:39:30] [world] The Player <wqe123420> has placed TNT at X= -3124, Y= 63, Z= 4446
[2023-07-20 12:39:31] [world] The Player <Funget114514> has placed TNT at X= -3087, Y= 63, Z= 4450
[2023-07-20 12:39:31] [world] The Player <Funget114514> has placed TNT at X= -3086, Y= 63, Z= 4450
[2023-07-20 12:39:32] [world] The Player <wqe123420> has placed TNT at X= -3124, Y= 63, Z= 4457
[2023-07-20 12:39:33] [world] The Player <wqe123420> has placed TNT at X= -3126, Y= 63, Z= 4464
[2023-07-20 12:39:37] [world] The Player <Funget114514> has placed TNT at X= -3109, Y= 63, Z= 4452
[2023-07-20 12:39:57] [world] The Player <Funget114514> has placed TNT at X= -3121, Y= 59, Z= 4443
[2023-07-20 12:39:57] [world] The Player <Funget114514> has placed TNT at X= -3122, Y= 60, Z= 4442
[2023-07-20 12:39:57] [world] The Player <Funget114514> has placed TNT at X= -3122, Y= 61, Z= 4442
[2023-07-20 12:40:03] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 58, Z= 4443
[2023-07-20 12:40:03] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 59, Z= 4443
[2023-07-20 12:40:08] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 68, Z= 4431
[2023-07-20 12:40:08] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 69, Z= 4431
[2023-07-20 12:40:09] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 70, Z= 4431
[2023-07-20 12:40:10] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 71, Z= 4431
[2023-07-20 12:40:16] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 60, Z= 4443
[2023-07-20 12:40:16] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 60, Z= 4442
[2023-07-20 12:40:21] [world] The Player <Funget114514> has placed TNT at X= -3120, Y= 60, Z= 4443
[2023-07-20 12:40:39] [world] The Player <Funget114514> has placed TNT at X= -3121, Y= 59, Z= 4443
[2023-07-20 12:41:03] [world] The Player <Funget114514> has placed TNT at X= -3131, Y= 62, Z= 4448
[2023-07-20 12:41:08] [world] The Player <Funget114514> has placed TNT at X= -3139, Y= 61, Z= 4448
[2023-07-20 12:41:10] [world] The Player <Funget114514> has placed TNT at X= -3142, Y= 61, Z= 4448
[2023-07-20 12:41:11] [world] The Player <Funget114514> has placed TNT at X= -3145, Y= 61, Z= 4448
[2023-07-20 12:41:12] [world] The Player <Funget114514> has placed TNT at X= -3148, Y= 61, Z= 4448
[2023-07-20 12:41:13] [world] The Player <Funget114514> has placed TNT at X= -3149, Y= 62, Z= 4452
[2023-07-20 12:41:15] [world] The Player <Funget114514> has placed TNT at X= -3147, Y= 62, Z= 4460
[2023-07-20 12:41:16] [world] The Player <Funget114514> has placed TNT at X= -3144, Y= 62, Z= 4463
[2023-07-20 12:41:18] [world] The Player <Funget114514> has placed TNT at X= -3139, Y= 62, Z= 4463
[2023-07-20 12:41:22] [world] The Player <Funget114514> has placed TNT at X= -3133, Y= 62, Z= 4460
[2023-07-20 12:41:22] [world] The Player <Funget114514> has placed TNT at X= -3134, Y= 62, Z= 4460
[2023-07-20 12:41:24] [world] The Player <Funget114514> has placed TNT at X= -3131, Y= 62, Z= 4457
[2023-07-20 12:41:32] [world] The Player <Funget114514> has placed TNT at X= -3131, Y= 62, Z= 4449
[2023-07-20 12:41:32] [world] The Player <Funget114514> has placed TNT at X= -3131, Y= 63, Z= 4449
[2023-07-20 12:41:51] [world] The Player <Funget114514> has placed SCAFFOLDING at X= -3135, Y= 61, Z= 4459
[2023-07-20 12:42:35] [world] The Player <Funget114514> has placed TNT at X= -3136, Y= 54, Z= 4456
[2023-07-20 12:42:50] [world] The Player <Funget114514> has placed TNT at X= -3135, Y= 55, Z= 4447
[2023-07-20 12:44:32] [world_the_end] The Player <wqe123420> has placed END_STONE at X= -6, Y= 61, Z= -7
[2023-07-20 12:44:32] [world_the_end] The Player <wqe123420> has placed END_STONE at X= -7, Y= 61, Z= -6
[2023-07-20 12:44:33] [world_the_end] The Player <wqe123420> has placed END_STONE at X= -7, Y= 61, Z= -8
[2023-07-20 12:44:34] [world_the_end] The Player <wqe123420> has placed END_STONE at X= -8, Y= 61, Z= -7
[2023-07-20 12:45:37] [world_the_end] The Player <wqe123420> has placed RED_SHULKER_BOX at X= -2, Y= 61, Z= -7
[2023-07-20 12:45:49] [world_the_end] The Player <wqe123420> has placed MUD at X= -1, Y= 61, Z= -8
[2023-07-20 12:46:34] [world_the_end] The Player <wqe123420> has placed END_STONE at X= 1, Y= 62, Z= 0
[2023-07-20 12:49:34] [world] The Player <Funget114514> has placed TNT at X= -16, Y= 68, Z= -274
[2023-07-20 12:51:30] [world] The Player <Funget114514> has placed TNT at X= -20, Y= 63, Z= -288
[2023-07-20 12:51:31] [world] The Player <Funget114514> has placed TNT at X= -20, Y= 64, Z= -288
[2023-07-20 12:56:25] [world_the_end] The Player <Enderlava> has placed GLASS at X= -2, Y= 54, Z= -7
[2023-07-20 12:59:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 2, Y= 55, Z= 0
[2023-07-20 12:59:34] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 1, Y= 55, Z= 0
[2023-07-20 12:59:34] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 55, Z= -1
[2023-07-20 12:59:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 55, Z= -2
[2023-07-20 12:59:37] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 55, Z= 0
