[2023-07-21 16:41:44] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 388
[2023-07-21 16:41:59] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 396
[2023-07-21 16:42:11] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 405
[2023-07-21 16:42:22] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 415
[2023-07-21 16:42:53] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 420
[2023-07-21 16:43:18] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 428
[2023-07-21 16:43:33] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 433
[2023-07-21 16:43:46] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 13, Z= 438
[2023-07-21 16:43:51] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -165, Y= 9, Z= 75
[2023-07-21 16:44:18] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 13, Z= 445
[2023-07-21 16:44:29] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 12, Z= 452
[2023-07-21 16:44:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -67, Y= 13, Z= 443
[2023-07-21 16:44:48] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 12, Z= 461
[2023-07-21 16:44:52] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -168, Y= 16, Z= 32
[2023-07-21 16:45:16] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 465
[2023-07-21 16:45:30] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 11, Z= 473
[2023-07-21 16:45:45] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 10, Z= 481
[2023-07-21 16:45:55] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -56, Y= 10, Z= 479
[2023-07-21 16:46:02] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -75, Y= 9, Z= 480
[2023-07-21 16:46:25] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 9, Z= 490
[2023-07-21 16:46:40] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 16, Z= 21
[2023-07-21 16:46:41] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 14, Z= 17
[2023-07-21 16:46:42] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 13, Z= 14
[2023-07-21 16:46:42] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 10, Z= 495
[2023-07-21 16:46:43] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 10, Z= 12
[2023-07-21 16:46:53] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 10, Z= 502
[2023-07-21 16:47:01] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 16, Z= 9
[2023-07-21 16:47:02] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 14, Z= 7
[2023-07-21 16:47:02] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 15, Z= 4
[2023-07-21 16:47:03] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 12, Z= 2
[2023-07-21 16:47:06] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 512
[2023-07-21 16:47:11] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 15, Z= -2
[2023-07-21 16:47:11] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 16, Z= -6
[2023-07-21 16:47:12] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 12, Z= -4
[2023-07-21 16:47:12] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -167, Y= 15, Z= -9
[2023-07-21 16:47:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= 506
[2023-07-21 16:47:20] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 518
[2023-07-21 16:47:34] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 525
[2023-07-21 16:47:57] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 531
[2023-07-21 16:48:10] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 538
[2023-07-21 16:48:11] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 543
[2023-07-21 16:48:15] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -194, Y= 17, Z= -8
[2023-07-21 16:48:15] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -196, Y= 15, Z= -8
[2023-07-21 16:48:15] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -196, Y= 19, Z= -4
[2023-07-21 16:48:15] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -192, Y= 16, Z= -4
[2023-07-21 16:48:16] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -197, Y= 15, Z= -1
[2023-07-21 16:48:25] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 15, Z= 550
[2023-07-21 16:48:39] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 18, Z= 558
[2023-07-21 16:48:57] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 563
[2023-07-21 16:49:07] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 570
[2023-07-21 16:49:08] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 571
[2023-07-21 16:49:20] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 579
[2023-07-21 16:49:31] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 12, Z= 587
[2023-07-21 16:50:12] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -49, Y= 11, Z= 594
[2023-07-21 16:50:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -49, Y= 9, Z= 590
[2023-07-21 16:50:31] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 12, Z= 15
[2023-07-21 16:50:32] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 11, Z= 18
[2023-07-21 16:50:33] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 11, Z= 21
[2023-07-21 16:50:34] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -50, Y= 12, Z= 601
[2023-07-21 16:50:42] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 12, Z= 24
[2023-07-21 16:50:43] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 11, Z= 27
[2023-07-21 16:50:44] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 11, Z= 30
[2023-07-21 16:50:44] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -49, Y= 11, Z= 610
[2023-07-21 16:50:45] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 12, Z= 34
[2023-07-21 16:50:46] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -212, Y= 12, Z= 38
[2023-07-21 16:50:46] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -213, Y= 8, Z= 31
[2023-07-21 16:50:55] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -49, Y= 11, Z= 621
[2023-07-21 16:51:58] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -72, Y= 12, Z= 587
[2023-07-21 16:52:05] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 12, Z= 73
[2023-07-21 16:52:06] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 12, Z= 76
[2023-07-21 16:52:07] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 10, Z= 79
[2023-07-21 16:52:07] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 10, Z= 82
[2023-07-21 16:52:08] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 12, Z= 85
[2023-07-21 16:52:09] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 10, Z= 88
[2023-07-21 16:52:09] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 9, Z= 91
[2023-07-21 16:52:11] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -79, Y= 11, Z= 587
[2023-07-21 16:52:28] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -84, Y= 13, Z= 584
[2023-07-21 16:52:46] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -91, Y= 14, Z= 584
[2023-07-21 16:52:52] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -210, Y= 13, Z= 94
[2023-07-21 16:53:27] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -103, Y= 13, Z= 591
[2023-07-21 16:53:28] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -103, Y= 13, Z= 588
[2023-07-21 16:53:43] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -111, Y= 14, Z= 591
[2023-07-21 16:54:09] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 15, Z= 128
