[2023-07-20 12:38:51] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3096, Y= 63, Z= 4437
[2023-07-20 12:39:07] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3091, Y= 63, Z= 4446
[2023-07-20 12:39:08] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3093, Y= 60, Z= 4443
[2023-07-20 12:39:39] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3126, Y= 63, Z= 4464
[2023-07-20 12:39:40] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3124, Y= 63, Z= 4457
[2023-07-20 12:39:46] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3124, Y= 63, Z= 4446
[2023-07-20 12:39:46] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3109, Y= 63, Z= 4452
[2023-07-20 12:40:28] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3120, Y= 58, Z= 4443
[2023-07-20 12:40:53] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3121, Y= 59, Z= 4443
[2023-07-20 12:41:33] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3131, Y= 62, Z= 4457
[2023-07-20 12:43:20] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3135, Y= 55, Z= 4447
[2023-07-20 13:31:31] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 23, Y= 128, Z= -5
[2023-07-20 13:31:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 22, Y= 128, Z= -10
[2023-07-20 13:31:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 22, Y= 128, Z= -12
[2023-07-20 13:31:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 21, Y= 128, Z= -20
[2023-07-20 13:33:35] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 26, Y= 129, Z= -4
[2023-07-20 13:33:59] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 24, Y= 128, Z= -4
[2023-07-20 13:34:09] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 23, Y= 128, Z= -4
[2023-07-20 13:34:09] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 23, Y= 128, Z= -6
[2023-07-20 13:34:09] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 24, Y= 128, Z= -4
[2023-07-20 13:34:10] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 24, Y= 128, Z= 0
[2023-07-20 14:10:51] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -9, Y= 56, Z= 1
[2023-07-20 14:10:51] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -9, Y= 56, Z= 1
[2023-07-20 14:11:01] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -9, Y= 57, Z= 0
[2023-07-20 14:11:02] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -10, Y= 55, Z= 0
[2023-07-20 16:28:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -51, Y= 15, Z= -647
[2023-07-20 16:28:35] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -49, Y= 12, Z= -647
[2023-07-20 16:28:35] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -47, Y= 14, Z= -647
[2023-07-20 16:28:35] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -43, Y= 16, Z= -647
[2023-07-20 16:28:36] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -44, Y= 11, Z= -646
[2023-07-20 16:28:36] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -41, Y= 11, Z= -647
[2023-07-20 16:28:37] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -39, Y= 15, Z= -648
[2023-07-20 16:28:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -35, Y= 14, Z= -647
[2023-07-20 16:28:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -37, Y= 10, Z= -647
[2023-07-20 16:28:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -32, Y= 11, Z= -647
[2023-07-20 16:28:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -31, Y= 14, Z= -647
[2023-07-20 16:28:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -27, Y= 14, Z= -647
