[2023-07-23 14:58:27] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 57, Z= 3
[2023-07-23 14:58:27] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 58, Z= 3
[2023-07-23 14:58:28] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 58, Z= 3
[2023-07-23 14:58:28] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 3
[2023-07-23 14:58:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 57, Z= 4
[2023-07-23 14:58:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 57, Z= 5
[2023-07-23 14:58:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 57, Z= 4
[2023-07-23 14:58:30] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 57, Z= 4
[2023-07-23 14:58:30] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= 3
[2023-07-23 14:58:31] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 55, Z= 3
[2023-07-23 14:58:31] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= 3
[2023-07-23 14:58:32] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 55, Z= 3
[2023-07-23 14:58:32] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 56, Z= 3
[2023-07-23 14:58:33] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 56, Z= 3
[2023-07-23 14:58:33] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 55, Z= 3
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 55, Z= 3
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 55, Z= 3
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 56, Z= 3
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 3
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 55, Z= 3
[2023-07-23 14:58:36] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 56, Z= 3
[2023-07-23 14:58:36] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 55, Z= 3
[2023-07-23 14:58:37] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 55, Z= 2
[2023-07-23 14:58:37] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 55, Z= 2
[2023-07-23 14:58:38] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 56, Z= 1
[2023-07-23 14:58:39] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 55, Z= 1
[2023-07-23 14:58:39] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 56, Z= 2
[2023-07-23 14:58:39] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 55, Z= 2
[2023-07-23 14:58:42] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 2
[2023-07-23 14:58:43] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 3
[2023-07-23 14:58:43] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 4
[2023-07-23 14:58:43] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 5
[2023-07-23 14:58:44] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 4, Y= 58, Z= 4
[2023-07-23 14:58:45] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 4, Y= 58, Z= 5
[2023-07-23 14:59:54] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 58, Z= 4
[2023-07-23 14:59:54] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 58, Z= 5
[2023-07-23 14:59:55] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 58, Z= 4
[2023-07-23 14:59:55] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 58, Z= 5
[2023-07-23 14:59:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 58, Z= 5
[2023-07-23 14:59:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 58, Z= 4
[2023-07-23 14:59:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 58, Z= 4
[2023-07-23 14:59:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 58, Z= 5
[2023-07-23 14:59:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 58, Z= 5
[2023-07-23 14:59:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 57, Z= 5
[2023-07-23 14:59:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 58, Z= 5
[2023-07-23 15:00:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= 5
[2023-07-23 15:00:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= 4
[2023-07-23 15:00:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 55, Z= 5
[2023-07-23 15:00:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 55, Z= 4
[2023-07-23 15:00:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= 4
[2023-07-23 15:00:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= 5
[2023-07-23 15:00:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 55, Z= 4
[2023-07-23 15:00:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -6, Y= 55, Z= 0
[2023-07-23 15:00:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -7, Y= 55, Z= 0
[2023-07-23 15:00:23] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 55, Z= 4
[2023-07-23 15:00:24] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 4
[2023-07-23 15:00:25] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 4
[2023-07-23 15:00:26] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 5
[2023-07-23 15:00:26] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 6
[2023-07-23 15:00:27] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 7
[2023-07-23 15:00:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 4, Y= 55, Z= 0
[2023-07-23 15:00:32] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 5, Y= 56, Z= 0
[2023-07-23 15:00:33] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 5, Y= 55, Z= 0
[2023-07-23 15:00:33] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 6, Y= 56, Z= 0
[2023-07-23 15:00:34] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 6, Y= 55, Z= 0
[2023-07-23 15:00:34] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 56, Z= 0
[2023-07-23 15:00:35] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 55, Z= 0
[2023-07-23 15:00:36] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 57, Z= 0
[2023-07-23 15:00:36] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 58, Z= 0
[2023-07-23 15:00:37] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 59, Z= 0
[2023-07-23 15:00:37] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 60, Z= 0
[2023-07-23 15:00:38] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 61, Z= 0
