[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -1, Y= 15, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 0, Y= 15, Z= 12
[2023-07-19 12:04:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -2, Y= 16, Z= 12
[2023-07-19 12:04:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 1, Y= 15, Z= 12
[2023-07-19 12:04:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 2, Y= 15, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -1, Y= 16, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 0, Y= 16, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 1, Y= 16, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 3, Y= 15, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 2, Y= 16, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 4, Y= 15, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 5, Y= 15, Z= 12
[2023-07-19 12:04:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 3, Y= 16, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 4, Y= 16, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 6, Y= 15, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 5, Y= 16, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 6, Y= 16, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 7, Y= 15, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 8, Y= 15, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 7, Y= 16, Z= 12
[2023-07-19 12:04:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 9, Y= 15, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 8, Y= 16, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 10, Y= 15, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 9, Y= 16, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 11, Y= 15, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 10, Y= 16, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 12, Y= 15, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 11, Y= 16, Z= 12
[2023-07-19 12:04:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 13, Y= 15, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 12, Y= 16, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 14, Y= 15, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 13, Y= 16, Z= 12
