[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -32, Y= 102, Z= -31
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -32, Y= 102, Z= -32
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -32, Y= 101, Z= -32
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -32, Y= 101, Z= -31
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -33, Y= 101, Z= -32
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -33, Y= 100, Z= -32
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -33, Y= 102, Z= -32
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -33, Y= 102, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -33, Y= 101, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -34, Y= 101, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -34, Y= 100, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -34, Y= 100, Z= -34
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -35, Y= 100, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -35, Y= 99, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -35, Y= 99, Z= -34
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -34, Y= 102, Z= -33
[2023-08-09 10:00:23] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -35, Y= 98, Z= -33
[2023-08-09 10:00:24] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -35, Y= 101, Z= -33
[2023-08-09 10:00:24] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 98, Z= -33
[2023-08-09 10:00:26] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -35, Y= 97, Z= -33
[2023-08-09 10:00:27] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 97, Z= -33
[2023-08-09 10:00:28] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 98, Z= -32
[2023-08-09 10:00:28] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -35, Y= 98, Z= -32
[2023-08-09 10:00:29] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 97, Z= -32
[2023-08-09 10:00:29] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -35, Y= 97, Z= -32
[2023-08-09 10:00:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -36, Y= 96, Z= -31
[2023-08-09 10:00:30] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 98, Z= -34
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -37, Y= 98, Z= -34
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has broke NETHER_GOLD_ORE at X= -36, Y= 97, Z= -34
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -37, Y= 97, Z= -34
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -37, Y= 97, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -38, Y= 97, Z= -34
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -38, Y= 98, Z= -34
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -39, Y= 97, Z= -34
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -39, Y= 97, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -39, Y= 98, Z= -34
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -38, Y= 98, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -39, Y= 98, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 97, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 98, Z= -35
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 98, Z= -36
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 98, Z= -36
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 98, Z= -37
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 98, Z= -37
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 99, Z= -37
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 98, Z= -38
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 98, Z= -38
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -39, Y= 98, Z= -36
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 97, Z= -36
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -40, Y= 97, Z= -37
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 97, Z= -38
