[2023-07-17 09:19:31] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1080, Y= 204, Z= -193
[2023-07-17 09:19:34] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1081, Y= 204, Z= -194
[2023-07-17 09:19:35] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1081, Y= 204, Z= -193
[2023-07-17 09:20:11] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1076, Y= 203, Z= -191
[2023-07-17 09:20:11] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 203, Z= -191
[2023-07-17 09:20:12] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1074, Y= 203, Z= -191
[2023-07-17 09:20:13] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 204, Z= -191
[2023-07-17 09:20:13] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1074, Y= 204, Z= -191
[2023-07-17 09:20:15] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1076, Y= 204, Z= -191
[2023-07-17 09:20:15] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1077, Y= 204, Z= -191
[2023-07-17 09:20:15] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1077, Y= 203, Z= -191
[2023-07-17 09:20:16] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1078, Y= 204, Z= -191
[2023-07-17 09:20:16] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1078, Y= 203, Z= -191
[2023-07-17 09:20:16] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1079, Y= 204, Z= -191
[2023-07-17 09:20:17] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1079, Y= 203, Z= -191
[2023-07-17 09:20:17] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1080, Y= 204, Z= -191
[2023-07-17 09:23:12] [world] The Player <Funget114514> has broke WHITE_WOOL at X= -16, Y= 66, Z= -306
[2023-07-17 11:12:10] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-17 11:13:09] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-17 11:15:38] [world] The Player <Funget114514> has broke COBBLESTONE at X= -28, Y= 62, Z= -288
[2023-07-17 11:21:29] [world] The Player <Funget114514> has broke BLUE_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-17 11:24:32] [world] The Player <Funget114514> has broke BLUE_SHULKER_BOX at X= -28, Y= 62, Z= -288
[2023-07-17 11:26:21] [world] The Player <Funget114514> has broke RED_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-17 11:27:26] [world] The Player <Funget114514> has broke FIRE at X= -22, Y= 63, Z= -287
[2023-07-17 11:35:17] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-17 11:35:39] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-17 11:44:02] [world] The Player <Funget114514> has broke COBBLESTONE at X= -977, Y= 68, Z= -1016
[2023-07-17 11:44:04] [world] The Player <Funget114514> has broke COBBLESTONE at X= -977, Y= 67, Z= -1016
[2023-07-17 11:44:04] [world] The Player <Funget114514> has broke COBBLESTONE at X= -977, Y= 66, Z= -1016
[2023-07-17 11:44:05] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -976, Y= 67, Z= -1016
[2023-07-17 11:44:31] [world] The Player <Funget114514> has broke GLASS at X= -968, Y= 67, Z= -1007
[2023-07-17 11:44:57] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -972, Y= 64, Z= -1012
[2023-07-17 11:45:08] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -973, Y= 67, Z= -1015
[2023-07-17 11:56:53] [world] The Player <Enderlava> has broke GRASS at X= -54, Y= 69, Z= -159
[2023-07-17 11:56:54] [world] The Player <Enderlava> has broke GRASS at X= -54, Y= 68, Z= -158
[2023-07-17 12:01:48] [world] The Player <Enderlava> has broke KELP at X= -39, Y= 62, Z= -90
[2023-07-17 12:01:51] [world] The Player <Enderlava> has broke KELP at X= -36, Y= 62, Z= -87
[2023-07-17 12:03:54] [world] The Player <Funget114514> has broke COBBLESTONE at X= -977, Y= 65, Z= -1016
[2023-07-17 12:03:55] [world] The Player <Funget114514> has broke COBBLESTONE at X= -977, Y= 64, Z= -1016
[2023-07-17 12:03:56] [world] The Player <Funget114514> has broke STONE at X= -976, Y= 65, Z= -1016
[2023-07-17 12:03:56] [world] The Player <Funget114514> has broke STONE at X= -976, Y= 64, Z= -1016
[2023-07-17 12:03:57] [world] The Player <Funget114514> has broke STONE at X= -975, Y= 65, Z= -1016
[2023-07-17 12:03:57] [world] The Player <Funget114514> has broke STONE at X= -975, Y= 64, Z= -1016
[2023-07-17 12:03:58] [world] The Player <Funget114514> has broke STONE at X= -974, Y= 65, Z= -1016
