[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -37
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -36
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -37
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -38
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -36
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -38
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -38
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -39
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -37
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -39
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -40
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -38
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -41
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -39
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -40
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -41
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -42
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -41
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -42
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -40
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -41
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -42
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -43
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -44
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -45
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -46
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -47
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -44
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -45
