[2023-07-21 16:22:44] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 17, Z= -45
[2023-07-21 16:22:45] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 18, Z= -45
[2023-07-21 16:22:45] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 18, Z= -46
[2023-07-21 16:22:46] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 18, Z= -45
[2023-07-21 16:22:46] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 18, Z= -44
[2023-07-21 16:22:47] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 17, Z= -44
[2023-07-21 16:22:47] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 18, Z= -44
[2023-07-21 16:22:48] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 19, Z= -44
[2023-07-21 16:22:48] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 18, Z= -43
[2023-07-21 16:22:49] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 18, Z= -42
[2023-07-21 16:22:49] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 18, Z= -43
[2023-07-21 16:22:50] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 19, Z= -43
[2023-07-21 16:22:50] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 19, Z= -43
[2023-07-21 16:22:50] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 19, Z= -42
[2023-07-21 16:22:51] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 19, Z= -42
[2023-07-21 16:22:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -41
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 18, Z= -42
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -41
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -40
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 18, Z= -41
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -41
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -40
[2023-07-21 16:22:52] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -64, Y= 18, Z= -40
[2023-07-21 16:22:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -40
[2023-07-21 16:22:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -39
[2023-07-21 16:22:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -39
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -35
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -34
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -34
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -33
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -35
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 18, Z= -35
[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -63, Y= 19, Z= -33
