[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -994, Y= 63, Z= -971
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 63, Z= -972
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 63, Z= -971
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 63, Z= -970
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 62, Z= -970
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -994, Y= 63, Z= -973
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -993, Y= 63, Z= -973
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -995, Y= 63, Z= -973
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -993, Y= 63, Z= -972
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -992, Y= 63, Z= -972
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -991, Y= 63, Z= -972
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -991, Y= 63, Z= -971
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 63, Z= -972
[2023-07-20 10:58:37] [world] The Player <wqe123420> has broke SAND at X= -992, Y= 63, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -991, Y= 63, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 63, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 62, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 62, Z= -972
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 62, Z= -971
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -990, Y= 63, Z= -971
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 62, Z= -971
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 63, Z= -972
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 63, Z= -972
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 63, Z= -972
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 63, Z= -973
