[2023-07-11 11:32:49] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 10, Y= 80, Z= -323
[2023-07-11 11:32:50] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 12, Y= 80, Z= -321
[2023-07-11 11:32:51] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 12, Y= 80, Z= -319
[2023-07-11 11:32:53] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 10, Y= 80, Z= -317
[2023-07-11 11:32:55] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 8, Y= 80, Z= -317
[2023-07-11 11:32:56] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 6, Y= 80, Z= -319
[2023-07-11 11:36:45] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 7, Y= 87, Z= -320
[2023-07-11 11:43:47] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 6, Y= 67, Z= -323
[2023-07-11 11:43:48] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 11, Y= 67, Z= -324
[2023-07-11 11:43:50] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 12, Y= 67, Z= -318
[2023-07-11 11:43:54] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 12, Y= 67, Z= -316
[2023-07-11 11:43:56] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 7, Y= 67, Z= -317
[2023-07-11 11:49:53] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 9, Y= 63, Z= -319
[2023-07-11 12:01:44] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 9, Y= 65, Z= -320
[2023-07-11 12:01:53] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 8, Y= 67, Z= -319
[2023-07-11 12:02:07] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 14, Y= 51, Z= -313
[2023-07-11 12:02:34] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 61, Z= -307
[2023-07-11 12:02:35] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 60, Z= -306
[2023-07-11 12:02:35] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 60, Z= -306
[2023-07-11 12:02:35] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 59, Z= -306
[2023-07-11 12:02:36] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 59, Z= -306
[2023-07-11 12:02:36] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 59, Z= -306
[2023-07-11 12:02:37] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 60, Z= -306
[2023-07-11 12:02:37] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 61, Z= -306
[2023-07-11 12:02:37] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 61, Z= -306
[2023-07-11 12:02:38] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 13, Y= 62, Z= -304
[2023-07-11 12:02:58] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 38, Y= 63, Z= -272
[2023-07-11 12:03:07] [world] The Player <Funget114514> has emptied WATER BUCKET at X= 38, Y= 63, Z= -272
[2023-07-11 12:06:44] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 4, Y= 63, Z= -287
[2023-07-11 12:06:47] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 1, Y= 63, Z= -284
[2023-07-11 12:06:48] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 1, Y= 63, Z= -284
[2023-07-11 12:25:27] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 9, Y= 65, Z= -320
[2023-07-11 12:25:51] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 9, Y= 65, Z= -320
[2023-07-11 20:23:59] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -14, Y= 63, Z= -282
[2023-07-11 20:24:06] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -14, Y= 63, Z= -282
[2023-07-11 20:24:19] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -16, Y= 68, Z= -273
[2023-07-11 20:28:18] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -26, Y= 65, Z= -283
[2023-07-11 20:28:20] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -26, Y= 65, Z= -283
[2023-07-11 20:29:45] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -25, Y= 65, Z= -283
[2023-07-11 20:30:24] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -24, Y= 63, Z= -287
[2023-07-11 20:30:25] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -24, Y= 63, Z= -287
[2023-07-11 20:30:41] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -25, Y= 63, Z= -286
[2023-07-11 20:30:42] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -25, Y= 63, Z= -286
[2023-07-11 20:31:16] [world] The Player <Funget114514> has emptied LAVA BUCKET at X= -23, Y= 63, Z= -286
